NMeta,Pi,Time
590,3.1397360000,0.002218450
591,3.1414864000,0.002396715
592,3.1407792000,0.002232417
593,3.1411704000,0.002441058
594,3.1418584000,0.002360827
595,3.1416360000,0.002177694
596,3.1427312000,0.002398969
597,3.1419712000,0.003544838
598,3.1417592000,0.004257124
599,3.1420168000,0.003912738
600,3.1422632000,0.003985594
601,3.1421832000,0.002238478
602,3.1402864000,0.004862990
603,3.1418280000,0.004841830
604,3.1421176000,0.004897325
605,3.1410616000,0.001974543
606,3.1412664000,0.004911130
607,3.1411072000,0.004943721
608,3.1406240000,0.001981777
609,3.1424336000,0.005020525
610,3.1397128000,0.004939503
611,3.1412688000,0.002082947
612,3.1421296000,0.004917402
613,3.1413784000,0.005099363
614,3.1411680000,0.001976958
615,3.1416544000,0.006160683
616,3.1430544000,0.003189712
617,3.1421120000,0.003200933
618,3.1411144000,0.002716936
619,3.1406744000,0.002305193
620,3.1417160000,0.003383515
621,3.1425952000,0.002800713
622,3.1405776000,0.002208622
623,3.1407480000,0.002325822
624,3.1414560000,0.002196599
625,3.1414584000,0.002368682
626,3.1417752000,0.002205005
627,3.1410728000,0.002205316
628,3.1420600000,0.002360667
629,3.1409960000,0.002225875
630,3.1418864000,0.002392537
631,3.1410168000,0.002146876
632,3.1422048000,0.002157286
633,3.1407944000,0.002375374
634,3.1412080000,0.002204064
635,3.1417888000,0.002163327
636,3.1410400000,0.002408346
637,3.1430536000,0.002211928
638,3.1433776000,0.002203171
639,3.1417872000,0.002340669
640,3.1425664000,0.002195207
641,3.1406824000,0.002377829
642,3.1407184000,0.002226115
643,3.1414992000,0.002208742
644,3.1410576000,0.002403107
645,3.1417040000,0.002202501
646,3.1421296000,0.002213441
647,3.1412216000,0.002391374
648,3.1406584000,0.002231444
649,3.1408576000,0.002360527
650,3.1425176000,0.002198032
651,3.1424504000,0.002247024
652,3.1417752000,0.002422584
653,3.1408416000,0.002234791
654,3.1420832000,0.002368982
655,3.1424792000,0.002195017
656,3.1413376000,0.002223169
657,3.1422344000,0.002423575
658,3.1412832000,0.002233559
659,3.1412784000,0.002197401
660,3.1422584000,0.002383651
661,3.1415256000,0.002248416
662,3.1424544000,0.002252955
663,3.1409320000,0.002365477
664,3.1416232000,0.002214312
665,3.1421640000,0.002367590
666,3.1419760000,0.002238498
667,3.1428496000,0.002311485
668,3.1415312000,0.003125071
669,3.1422624000,0.002292579
670,3.1429288000,0.002446968
671,3.1418760000,0.002196649
672,3.1423584000,0.002251062
673,3.1406840000,0.002388639
674,3.1416200000,0.002216377
675,3.1424784000,0.002393178
676,3.1421672000,0.002238698
677,3.1421664000,0.002230553
678,3.1415192000,0.002379202
679,3.1418744000,0.002232176
680,3.1423720000,0.002215675
681,3.1407064000,0.002376326
682,3.1413480000,0.002296928
683,3.1421544000,0.002417353
684,3.1414720000,0.002230383
685,3.1415760000,0.002189587
686,3.1414072000,0.002453531
687,3.1399656000,0.002247665
688,3.1413136000,0.002374573
689,3.1436728000,0.002226566
690,3.1422824000,0.002221646
691,3.1399496000,0.002406583
692,3.1407992000,0.002243207
693,3.1423480000,0.002248957
694,3.1415728000,0.002386486
695,3.1407424000,0.002247605
696,3.1413776000,0.002251212
697,3.1427312000,0.002380043
698,3.1411568000,0.002221707
699,3.1402600000,0.002387688
700,3.1414792000,0.002255309
701,3.1408656000,0.002247655
702,3.1415480000,0.002385795
703,3.1410008000,0.002220173
704,3.1425800000,0.002234862
705,3.1425504000,0.002336962
706,3.1410208000,0.002249028
707,3.1417200000,0.002490741
708,3.1422664000,0.002721935
709,3.1428992000,0.002464442
710,3.1409592000,0.002191660
711,3.1424912000,0.002214703
712,3.1425360000,0.002558689
713,3.1422800000,0.002253606
714,3.1408984000,0.002226336
715,3.1428920000,0.002349907
716,3.1412472000,0.002231184
717,3.1411704000,0.002377469
718,3.1408568000,0.002217889
719,3.1418312000,0.002226646
720,3.1410168000,0.002407485
721,3.1420672000,0.002222277
722,3.1417608000,0.002247855
723,3.1391960000,0.002380184
724,3.1422880000,0.002220183
725,3.1421224000,0.002371076
726,3.1412176000,0.002254679
727,3.1413568000,0.002244369
728,3.1424088000,0.002382317
729,3.1419816000,0.002237136
730,3.1423784000,0.002372179
731,3.1410664000,0.002258816
732,3.1403840000,0.002216657
733,3.1423008000,0.002407285
734,3.1398808000,0.002229671
735,3.1404384000,0.002225013
736,3.1417880000,0.002418856
737,3.1408440000,0.002856567
738,3.1418888000,0.002321664
739,3.1415928000,0.002218932
740,3.1417808000,0.002221045
741,3.1419344000,0.002374854
